"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","volat_param","m_","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2024_Q1",43,1,"mean",99,0.31619,91,1.02905,"SP",1,50,12,0,0,0
"2024_Q2",43,1,"mean",99,0.31619,91,1.02905,"SP",1,50,12,0,0,0
"2022_Q1",47,58,"mean",74,0.42,71,1.05353,"SP",1,50,12,53.6666883667418,-13.5916212761762,53.5959237932382
"2022_Q3",47,58,"mean",74,0.42,71,1.05353,"SP",1,50,12,0.334996921290598,-5.34791256982599,0
"2022_Q4",47,58,"mean",74,0.42,71,1.05353,"SP",1,50,12,-5.43760387451796,2.54553246926451,-5.50876455810033
"2023_Q2",47,58,"mean",74,0.42,71,1.05353,"SP",1,50,12,0,-5.24105341302932,-4.28392238019018
"2023_Q4",47,58,"mean",74,0.42,71,1.05353,"SP",1,50,12,-7.19230053142091,3.56245468462346,-7.25818325420042
"2024_Q1",47,58,"mean",74,0.42,71,1.05353,"SP",1,50,12,0,-3.43517507904312,0
"2024_Q2",47,58,"mean",74,0.42,71,1.05353,"SP",1,50,12,0,-3.93201519013849,0
"2022_Q1",30,29,"mean",84,0.22954,81,0.63101,"SP",1,50,12,15.5411842731061,-10.2482979218043,15.4537611762795
"2022_Q3",30,29,"mean",84,0.22954,81,0.63101,"SP",1,50,12,5.23116405296893,-8.84847630985107,5.12511006432459
"2022_Q4",30,29,"mean",84,0.22954,81,0.63101,"SP",1,50,12,38.0194426773098,-11.7522662965321,37.6837035618352
"2023_Q2",30,29,"mean",84,0.22954,81,0.63101,"SP",1,50,12,-4.75464206511335,-0.342804266940015,-6.8193240868179
"2023_Q4",30,29,"mean",84,0.22954,81,0.63101,"SP",1,50,12,-3.96403131612565,-2.77027107744032,-3.93919236187968
"2024_Q1",30,29,"mean",84,0.22954,81,0.63101,"SP",1,50,12,-5.12010320413804,-3.00331303994451,-5.34315523219934
"2024_Q2",30,29,"mean",84,0.22954,81,0.63101,"SP",1,50,12,0,-7.22630560775491,0
"2022_Q1",61,48,"mean",91,0.43989,99,2.00742,"SP",1,50,12,0,0,0
"2022_Q3",61,48,"mean",91,0.43989,99,2.00742,"SP",1,50,12,0,0,0
"2022_Q4",61,48,"mean",91,0.43989,99,2.00742,"SP",1,50,12,0,0,0
"2023_Q2",61,48,"mean",91,0.43989,99,2.00742,"SP",1,50,12,14.7129559839052,-7.34978399057432,8.2597807145402
"2023_Q4",61,48,"mean",91,0.43989,99,2.00742,"SP",1,50,12,0,0,0
"2024_Q1",61,48,"mean",91,0.43989,99,2.00742,"SP",1,50,12,0,0,0
"2024_Q2",61,48,"mean",91,0.43989,99,2.00742,"SP",1,50,12,0,0,0
"2022_Q1",33,65,"mean",72,0.23821,73,1.04568,"SP",1,50,12,5.76021549534149,-9.59161047568002,5.60688165118902
"2022_Q3",33,65,"mean",72,0.23821,73,1.04568,"SP",1,50,12,-3.94332770444473,0.0152849001403798,-3.96677027159432
"2022_Q4",33,65,"mean",72,0.23821,73,1.04568,"SP",1,50,12,17.7395963755852,-8.49727754878088,17.4665754559276
"2023_Q2",33,65,"mean",72,0.23821,73,1.04568,"SP",1,50,12,0,-5.76052333738935,-3.29974254847644
"2023_Q4",33,65,"mean",72,0.23821,73,1.04568,"SP",1,50,12,-1.57226609085388,-2.92216711512576,-1.65616787859677
"2024_Q1",33,65,"mean",72,0.23821,73,1.04568,"SP",1,50,12,0,-3.40737374142744,-0.0343987518107375
"2024_Q2",33,65,"mean",72,0.23821,73,1.04568,"SP",1,50,12,17.5407202709791,-9.94377990284719,16.9877889694449
"2022_Q1",54,31,"mean",63,0.00958,44,1.33259,"SP",1,50,12,26.3070020945964,-12.4421445771701,26.0928157013816
"2022_Q3",54,31,"mean",63,0.00958,44,1.33259,"SP",1,50,12,8.1648616673657,-9.77447792937529,8.0741169778405
"2022_Q4",54,31,"mean",63,0.00958,44,1.33259,"SP",1,50,12,-1.83689617709245,0,-1.8991017088298
"2023_Q2",54,31,"mean",63,0.00958,44,1.33259,"SP",1,50,12,-0.546176893924474,-4.64403782234471,-10.5638130042134
"2023_Q4",54,31,"mean",63,0.00958,44,1.33259,"SP",1,50,12,-6.28386101927419,0.97507143506875,-6.36620909937668
"2024_Q1",54,31,"mean",63,0.00958,44,1.33259,"SP",1,50,12,0,-4.24018433915944,0
"2024_Q2",54,31,"mean",63,0.00958,44,1.33259,"SP",1,50,12,0.106209511866079,-4.16940291149711,0.0114640861647496
"2022_Q1",34,83,"mean",90,0.42047,87,0.85322,"SP",1,50,12,36.0076884731436,-13.8040244616943,35.5964150689831
"2022_Q3",34,83,"mean",90,0.42047,87,0.85322,"SP",1,50,12,0,-5.14178604912004,0
"2022_Q4",34,83,"mean",90,0.42047,87,0.85322,"SP",1,50,12,15.1220545493241,-7.88260704775861,14.7182537164849
"2023_Q2",34,83,"mean",90,0.42047,87,0.85322,"SP",1,50,12,0,-6.16049630435729,-2.07862363301706
"2023_Q4",34,83,"mean",90,0.42047,87,0.85322,"SP",1,50,12,-5.3405730185018,0,-5.46327534212012
"2024_Q1",34,83,"mean",90,0.42047,87,0.85322,"SP",1,50,12,-1.52239488560046,-1.9569821062469,-1.81062144441649
"2024_Q2",34,83,"mean",90,0.42047,87,0.85322,"SP",1,50,12,47.988104200307,-11.7128701648129,44.3565556288139
"2022_Q1",28,78,"mean",20,0.45198,67,0.7905,"SP",1,50,12,13.43487534137,-10.0437076604585,0.0426320935585637
"2022_Q3",28,78,"mean",20,0.45198,67,0.7905,"SP",1,50,12,0,-7.3492838967667,0.159565814413043
"2022_Q4",28,78,"mean",20,0.45198,67,0.7905,"SP",1,50,12,36.3652506145418,-10.5974240802684,6.10861277149024
"2023_Q2",28,78,"mean",20,0.45198,67,0.7905,"SP",1,50,12,0,-6.30077337408069,-10.0263338857174
"2023_Q4",28,78,"mean",20,0.45198,67,0.7905,"SP",1,50,12,-0.826615424906133,-4.29767096275974,-11.2984875757309
"2024_Q1",28,78,"mean",20,0.45198,67,0.7905,"SP",1,50,12,-1.30214545897725,-3.30963838955004,-11.3816686783313
"2024_Q2",28,78,"mean",20,0.45198,67,0.7905,"SP",1,50,12,0,-4.58662288553159,-6.23067411190539
"2022_Q1",38,81,"mean",71,0.37148,88,0.54171,"SP",1,50,12,42.3637098046413,-12.606488597113,42.0511245543024
"2022_Q3",38,81,"mean",71,0.37148,88,0.54171,"SP",1,50,12,-2.53271631264602,-1.30892486215504,-2.52445411542588
"2022_Q4",38,81,"mean",71,0.37148,88,0.54171,"SP",1,50,12,11.4178645663229,-8.4803570985316,11.1301742879992
"2023_Q2",38,81,"mean",71,0.37148,88,0.54171,"SP",1,50,12,0,-6.10647315277298,-1.20392025935779
"2023_Q4",38,81,"mean",71,0.37148,88,0.54171,"SP",1,50,12,-0.645924349414814,-3.9718833820625,-0.812099128161156
"2024_Q1",38,81,"mean",71,0.37148,88,0.54171,"SP",1,50,12,-3.73144107211997,0,-3.97321083867974
"2024_Q2",38,81,"mean",71,0.37148,88,0.54171,"SP",1,50,12,0.175898321737265,-6.63110772653101,0.0697323619118712
"2022_Q1",51,54,"mean",89,0.48628,89,0.88747,"SP",1,50,12,50.8682287588167,-13.2152295223221,50.5684516817758
"2022_Q3",51,54,"mean",89,0.48628,89,0.88747,"SP",1,50,12,-3.93203149773877,1.03205708815632,-3.97647966171005
"2022_Q4",51,54,"mean",89,0.48628,89,0.88747,"SP",1,50,12,0,-3.79055660034532,0
"2023_Q2",51,54,"mean",89,0.48628,89,0.88747,"SP",1,50,12,1.67533106743765,-5.98169683213834,-0.663003675672097
"2023_Q4",51,54,"mean",89,0.48628,89,0.88747,"SP",1,50,12,-4.93339872211506,0.0105506322634975,-4.98082868185244
"2024_Q1",51,54,"mean",89,0.48628,89,0.88747,"SP",1,50,12,-0.605138381733806,-1.6715205711613,-0.991212043418336
"2024_Q2",51,54,"mean",89,0.48628,89,0.88747,"SP",1,50,12,0,-3.71223517248456,0
"2022_Q1",24,19,"mean",90,0.27171,80,1.33904,"SP",1,50,12,0,0,0
"2022_Q3",24,19,"mean",90,0.27171,80,1.33904,"SP",1,50,12,0,0,0
"2022_Q4",24,19,"mean",90,0.27171,80,1.33904,"SP",1,50,12,0,0,0
"2023_Q2",24,19,"mean",90,0.27171,80,1.33904,"SP",1,50,12,-0.608406031541171,0,-1.14351512826182
"2023_Q4",24,19,"mean",90,0.27171,80,1.33904,"SP",1,50,12,0,0,0
"2024_Q1",24,19,"mean",90,0.27171,80,1.33904,"SP",1,50,12,0,0,0
"2024_Q2",24,19,"mean",90,0.27171,80,1.33904,"SP",1,50,12,0,0,0
"2022_Q1",63,91,"mean",80,0.40024,93,1.20007,"SP",1,50,12,24.2202310911575,-11.5756000776198,23.9988395169234
"2022_Q3",63,91,"mean",80,0.40024,93,1.20007,"SP",1,50,12,3.48952992018548,-5.71437270720487,3.48952992018548
"2022_Q4",63,91,"mean",80,0.40024,93,1.20007,"SP",1,50,12,0.465268914206704,-4.09124871797212,0.353458930644129
"2023_Q2",63,91,"mean",80,0.40024,93,1.20007,"SP",1,50,12,0.376646729772126,-4.77941002561494,-2.4947884759336
"2023_Q4",63,91,"mean",80,0.40024,93,1.20007,"SP",1,50,12,-10.0420588212727,27.8882836670724,-10.0687324686481
"2024_Q1",63,91,"mean",80,0.40024,93,1.20007,"SP",1,50,12,0,-2.68504518849439,0
"2024_Q2",63,91,"mean",80,0.40024,93,1.20007,"SP",1,50,12,0,-2.52836454863884,0
"2022_Q1",38,70,"mean",95,0.32443,83,1.66807,"SP",1,50,12,0.571855866215978,-1.66276268025336,0.54682194760122
"2022_Q3",38,70,"mean",95,0.32443,83,1.66807,"SP",1,50,12,44.978758008092,-8.27032961953629,43.2280748096086
"2022_Q4",38,70,"mean",95,0.32443,83,1.66807,"SP",1,50,12,21.5434675253576,-6.88852970050547,20.3866090016496
"2023_Q2",38,70,"mean",95,0.32443,83,1.66807,"SP",1,50,12,1.50229564960467,-5.13353751680043,-0.208731904891867
"2023_Q4",38,70,"mean",95,0.32443,83,1.66807,"SP",1,50,12,0,-0.670400725610415,0
"2024_Q1",38,70,"mean",95,0.32443,83,1.66807,"SP",1,50,12,-1.2812316406954,0,-1.65342447030675
"2024_Q2",38,70,"mean",95,0.32443,83,1.66807,"SP",1,50,12,2.14260958229029,-2.51593139047288,1.45609987110287
"2022_Q1",36,70,"mean",99,0.31203,63,2.05136,"SP",1,50,12,30.5917954170546,-10.6551747395018,30.5234138006708
"2022_Q3",36,70,"mean",99,0.31203,63,2.05136,"SP",1,50,12,13.0341710746041,-9.3545760389751,12.798512521355
"2022_Q4",36,70,"mean",99,0.31203,63,2.05136,"SP",1,50,12,84.6776637030868,-12.2556986649833,83.2678603269942
"2023_Q2",36,70,"mean",99,0.31203,63,2.05136,"SP",1,50,12,21.8303172078732,-9.27785745878962,9.18226483634767
"2023_Q4",36,70,"mean",99,0.31203,63,2.05136,"SP",1,50,12,-9.39764130268689,14.1725463283617,-9.44113525707801
"2024_Q1",36,70,"mean",99,0.31203,63,2.05136,"SP",1,50,12,-3.78453322682206,2.05454887606392,-3.94169367965798
"2024_Q2",36,70,"mean",99,0.31203,63,2.05136,"SP",1,50,12,5.93533515175878,-5.01262341094029,5.46333023096717
"2022_Q1",33,77,"median",85,0.35432,64,2.14427,"SP",1,50,12,2.13166968695712,-3.70416673632152,2.13166968695712
"2022_Q3",33,77,"median",85,0.35432,64,2.14427,"SP",1,50,12,0,-0.947442725041098,0
"2022_Q4",33,77,"median",85,0.35432,64,2.14427,"SP",1,50,12,-9.041149000905,27.2539193089138,-9.041149000905
"2023_Q2",33,77,"median",85,0.35432,64,2.14427,"SP",1,50,12,-1.18943474332367,-0.0567523944074392,-1.84872113170431
"2023_Q4",33,77,"median",85,0.35432,64,2.14427,"SP",1,50,12,-7.49974126916132,16.8728566422566,-7.49974126916132
"2024_Q1",33,77,"median",85,0.35432,64,2.14427,"SP",1,50,12,-0.728061049728321,0,-1.0090600082457
"2024_Q2",33,77,"median",85,0.35432,64,2.14427,"SP",1,50,12,0,-1.91081696594955,0
"2022_Q1",21,86,"mean",77,0.47904,74,2.18801,"SP",1,50,12,0,-0.0948998413912813,0
"2022_Q3",21,86,"mean",77,0.47904,74,2.18801,"SP",1,50,12,0,-0.762898745862331,0
"2022_Q4",21,86,"mean",77,0.47904,74,2.18801,"SP",1,50,12,0.14862697289987,-1.785717130564,0.0364650519394092
"2023_Q2",21,86,"mean",77,0.47904,74,2.18801,"SP",1,50,12,5.10723763570956,-6.14410123576139,0.82818627563461
"2023_Q4",21,86,"mean",77,0.47904,74,2.18801,"SP",1,50,12,-5.39146135165995,7.18846124895309,-5.49290426094519
"2024_Q1",21,86,"mean",77,0.47904,74,2.18801,"SP",1,50,12,0,0,-0.34335886037746
"2024_Q2",21,86,"mean",77,0.47904,74,2.18801,"SP",1,50,12,10.8284715822178,-4.61435332908182,9.91185157196195
"2022_Q1",48,70,"mean",67,0.29013,54,1.87826,"SP",1,50,12,41.8175892242251,-13.0755526231419,41.5641925794414
"2022_Q3",48,70,"mean",67,0.29013,54,1.87826,"SP",1,50,12,14.1110423910248,-10.5936479352903,13.908102210575
"2022_Q4",48,70,"mean",67,0.29013,54,1.87826,"SP",1,50,12,0.306595044029957,-3.97674940432192,0.181665076778056
"2023_Q2",48,70,"mean",67,0.29013,54,1.87826,"SP",1,50,12,0.62234938682351,-5.92919628887492,-0.129282139554005
"2023_Q4",48,70,"mean",67,0.29013,54,1.87826,"SP",1,50,12,-10.5138976138483,15.5753833705914,-10.5669686618358
"2024_Q1",48,70,"mean",67,0.29013,54,1.87826,"SP",1,50,12,0,-3.5027248340425,0
"2024_Q2",48,70,"mean",67,0.29013,54,1.87826,"SP",1,50,12,0,-2.03290232577892,0
"2022_Q1",36,60,"mean",100,0.39147,42,1.49481,"SP",1,50,12,19.8430728061907,-11.9243530278823,19.6804965527773
"2022_Q3",36,60,"mean",100,0.39147,42,1.49481,"SP",1,50,12,2.03072916595264,-8.16622886505393,1.89702723299048
"2022_Q4",36,60,"mean",100,0.39147,42,1.49481,"SP",1,50,12,-0.921660340788437,-2.27118348454666,-0.872952790299751
"2023_Q2",36,60,"mean",100,0.39147,42,1.49481,"SP",1,50,12,0.61535014059318,-6.41881417652534,0
"2023_Q4",36,60,"mean",100,0.39147,42,1.49481,"SP",1,50,12,0.22478621904129,-5.54909053865873,0.0908999920760346
"2024_Q1",36,60,"mean",100,0.39147,42,1.49481,"SP",1,50,12,0.824704858222343,-6.67245589127245,0.565863229508338
"2024_Q2",36,60,"mean",100,0.39147,42,1.49481,"SP",1,50,12,0,-5.4804994432954,0
"2022_Q1",26,46,"mean",51,0.17946,76,2.39907,"SP",1,50,12,0,0,0
"2022_Q3",26,46,"mean",51,0.17946,76,2.39907,"SP",1,50,12,0,0,0
"2022_Q4",26,46,"mean",51,0.17946,76,2.39907,"SP",1,50,12,0,0,0
"2023_Q2",26,46,"mean",51,0.17946,76,2.39907,"SP",1,50,12,-2.23599543086276,3.33709393000259,-5.88113324114509
"2023_Q4",26,46,"mean",51,0.17946,76,2.39907,"SP",1,50,12,0,0,0
"2024_Q1",26,46,"mean",51,0.17946,76,2.39907,"SP",1,50,12,0,0,0
"2024_Q2",26,46,"mean",51,0.17946,76,2.39907,"SP",1,50,12,0,0,0
"2022_Q1",44,65,"mean",94,0.32582,85,1.53574,"SP",1,50,12,1.64861425798249,-2.39628794156202,1.5166712510247
"2022_Q3",44,65,"mean",94,0.32582,85,1.53574,"SP",1,50,12,103.735466711123,-8.44714024024869,102.098642396772
"2022_Q4",44,65,"mean",94,0.32582,85,1.53574,"SP",1,50,12,32.5314164893701,-7.70128059768907,31.5454469540119
"2023_Q2",44,65,"mean",94,0.32582,85,1.53574,"SP",1,50,12,27.8676579315346,-8.14508010385188,10.0662189920615
"2023_Q4",44,65,"mean",94,0.32582,85,1.53574,"SP",1,50,12,0,-0.342047912156057,0
"2024_Q1",44,65,"mean",94,0.32582,85,1.53574,"SP",1,50,12,-0.740387812712705,0,-1.0047870430415
"2024_Q2",44,65,"mean",94,0.32582,85,1.53574,"SP",1,50,12,1.48045684724806,-2.26819324832951,0.870539624676937
"2022_Q1",45,64,"mean",85,0.25211,95,0.78383,"SP",1,50,12,18.037627996771,-12.284195633032,17.8992235421309
"2022_Q3",45,64,"mean",85,0.25211,95,0.78383,"SP",1,50,12,-1.44037691293613,-1.36622734049464,-1.50911251686123
