"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2022_Q3",65,58,"mean",42,0.49753,"SP",1,50,12,-2.13977691759868,-2.93603572049908,-0.654540672801066
"2022_Q4",65,58,"mean",42,0.49753,"SP",1,50,12,0,-6.1975693163385,0.912482651596942
"2023_Q2",65,58,"mean",42,0.49753,"SP",1,50,12,0,-7.12600162205479,-4.72283614684263
"2023_Q4",65,58,"mean",42,0.49753,"SP",1,50,12,0,-6.74904393264918,-1.18250974148402
"2024_Q1",65,58,"mean",42,0.49753,"SP",1,50,12,-0.747471646336092,-4.16904840579352,-1.73501900131515
"2024_Q2",65,58,"mean",42,0.49753,"SP",1,50,12,-2.68445446296505,-4.89500887659176,-3.30338590970492
"2022_Q1",70,51,"mean",79,0.5202,"SP",1,50,12,34.302248107773,-13.1828432436695,36.7313738248665
"2022_Q3",70,51,"mean",79,0.5202,"SP",1,50,12,0.297653141432533,-10.8179197422822,0.861675588328034
"2022_Q4",70,51,"mean",79,0.5202,"SP",1,50,12,-0.248406244971032,-5.48843761831366,-0.399254641299596
"2023_Q2",70,51,"mean",79,0.5202,"SP",1,50,12,-1.3509107435504,-4.871626429416,-4.42043888133485
"2023_Q4",70,51,"mean",79,0.5202,"SP",1,50,12,0,-6.60889001094851,0
"2024_Q1",70,51,"mean",79,0.5202,"SP",1,50,12,-0.137849938291943,-5.33322990937537,-0.271791723355774
"2024_Q2",70,51,"mean",79,0.5202,"SP",1,50,12,-1.0390670426379,-6.9838533831996,-1.15646052868731
"2022_Q1",100,45,"mean",44,0.45426,"SP",1,50,12,21.0224557947385,-12.938532916471,25.970460738396
"2022_Q3",100,45,"mean",44,0.45426,"SP",1,50,12,-3.36247074417943,-1.12577857011143,-3.93971721042942
"2022_Q4",100,45,"mean",44,0.45426,"SP",1,50,12,5.85897213464499,-9.08545844124751,7.16746874312417
"2023_Q2",100,45,"mean",44,0.45426,"SP",1,50,12,-1.58526091682158,-3.55411799351686,-8.43680846741545
"2023_Q4",100,45,"mean",44,0.45426,"SP",1,50,12,-8.24110425222385,1.9140401126457,-8.39679736293242
"2024_Q1",100,45,"mean",44,0.45426,"SP",1,50,12,-3.6495555392965,-1.11439990391666,-3.83415203345865
"2024_Q2",100,45,"mean",44,0.45426,"SP",1,50,12,6.95445707230123,-8.48205184387909,6.80189208119364
"2022_Q1",63,62,"mean",98,0.62392,"SP",1,50,12,83.5779539451418,-14.0706244314731,83.1525978548856
"2022_Q3",63,62,"mean",98,0.62392,"SP",1,50,12,0,-9.22262943117422,0.0694837415281221
"2022_Q4",63,62,"mean",98,0.62392,"SP",1,50,12,0.509787134731451,-6.2685511158121,0.346254440839934
"2023_Q2",63,62,"mean",98,0.62392,"SP",1,50,12,-0.72398189439366,-5.08986309897463,-4.0088334053857
"2023_Q4",63,62,"mean",98,0.62392,"SP",1,50,12,0,-6.5862153455687,0
"2024_Q1",63,62,"mean",98,0.62392,"SP",1,50,12,-0.667242619919563,-3.95797521306925,-0.79721486463186
"2024_Q2",63,62,"mean",98,0.62392,"SP",1,50,12,-1.51264230435155,-6.16953255897657,-1.67535722536709
"2022_Q1",62,63,"mean",98,0.63828,"SP",1,50,12,67.8865630334726,-13.9197994312227,67.5179872206362
"2022_Q3",62,63,"mean",98,0.63828,"SP",1,50,12,0,-8.32434736177659,-0.0880826051848844
